PORTADOR_ID;CODIGO;DESCRICAO;WEBSITE
39;27;Banco do Estado de Santa Catarina S.A.;http://www.besc.com.br
40;33;Banco do Estado de São Paulo S.A. - Banespa;http://www.banespa.com.br
41;47;Banco do Estado de Sergipe S.A.;http://www.banese.com.br
42;37;Banco do Estado do Pará S.A.;http://www.banparanet.com.br
43;41;Banco do Estado do Rio Grande do Sul S.A.;http://www.banrisul.com.br
44;4;Banco do Nordeste do Brasil S.A.;http://www.banconordeste.gov.br
45;265;Banco Fator S.A.;http://www.bancofator.com.br
46;224;Banco Fibra S.A.;http://www.bancofibra.com.br
47;626;Banco Ficsa S.A.;http://www.ficsa.com.br
48;175;Banco Finasa S.A.;
49;252;Banco Fininvest S.A.;http://www.fininvest.com.br
50;233;Banco GE Capital S.A.;http://www.bancoge.com.br
